outlet_id,outlet_name,outlet_type,city,cuisine_type,account_manager,seating_capacity,google_rating,instagram_followers,months_onboarded,flavours_ordered,complaints_last3m,payment_delay_days,am_assigned,outreach_response_rate,order_m1,order_m2,order_m3,order_m4,order_m5,order_m6,avg_monthly_cubes,order_trend_pct,days_since_last_order,monthly_revenue_inr,monthly_gp_inr,annual_revenue_inr,ltv_24m_inr,churn_risk_score,churned,recommended_intervention,intervention_cost_inr,expected_revenue_saved_inr,retention_roi,intervention_efficiency,retention_priority_index,health_tier,priority_tier
FF-1000,The Blue Petal Café,Bar & Lounge,Delhi,Multi-Cuisine,Priya Nair,123,4.4,64674,5,5,3,29,1,0,20784,19289,18840,15671,13008,9848,16240,-52.61,4,97440,44822,1169280,627508,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1001,Skyline Bar,Catering Service,Bangalore,Pan-Asian,Priya Nair,61,4.6,26660,30,3,4,23,0,3,6888,6380,6278,5930,5513,4523,5918,-34.33,24,35508,16334,426096,392016,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1002,Monarch Grand Hotel,4-Star Hotel,Bangalore,Mediterranean,Priya Nair,44,4.9,18133,32,3,5,2,0,2,6829,6909,6483,5228,4156,3212,5469,-52.96,59,32814,15094,393768,271692,45.5,0,Dedicated Account Manager,8000,74171,827.0,0.85,3.5,🟡 At Risk,Tier 3 – Monitor
FF-1003,Spice Route,5-Star Hotel,Ranchi,Pan-Asian,Arjun Mehta,58,4.8,17514,8,4,7,10,1,2,13479,13248,14060,13259,13540,11991,13262,-11.04,3,79572,36603,954864,878472,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1004,The Artisan Brew,Premium Café,Hyderabad,Multi-Cuisine,Vikram Singh,150,4.5,81032,10,2,4,44,1,2,8381,7748,7642,7097,5814,4843,6920,-42.21,68,41520,19099,498240,458376,36.4,0,Extended Credit Terms,830,100109,11946.9,0.7,3.9,🟢 Healthy,Tier 3 – Monitor
FF-1005,Fusion 9,Premium Café,Chennai,Italian,Neha Joshi,248,4.5,49604,32,4,2,3,1,1,12688,12857,12625,11455,10884,10291,11800,-18.89,40,70800,32568,849600,716496,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1006,Cloud Nine Lounge,Premium Café,Bangalore,Multi-Cuisine,Riya Sharma,127,3.5,42121,28,4,5,25,1,1,18542,17092,17528,8191,3878,1746,11162,-90.58,120,66972,30807,803664,123228,72.7,1,Dedicated Account Manager,8000,53752,571.8,0.85,2.54,🔴 Critical,Tier 3 – Monitor
FF-1007,The Grand Palate,Fine Dining Restaurant,Mumbai,Italian,Vikram Singh,191,3.4,77731,17,1,3,26,1,3,5006,5236,5187,4829,4325,3961,4757,-20.87,54,28542,13129,342504,315096,45.5,0,Extended Credit Terms,571,86021,14938.8,0.7,3.35,🟡 At Risk,Tier 3 – Monitor
FF-1008,Saffron Kitchen,5-Star Hotel,Hyderabad,Continental,Priya Nair,121,4.2,68888,31,4,0,42,1,2,7483,7251,7422,6965,6640,6037,6966,-19.32,35,41796,19226,501552,403746,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1009,Urban Brew Co.,4-Star Hotel,Mumbai,Multi-Cuisine,Vikram Singh,31,3.2,16514,8,5,4,26,0,1,11773,10906,10140,9461,8725,7837,9807,-33.43,56,58842,27067,706104,189469,54.5,1,Extended Credit Terms,1177,61956,5159.5,0.7,2.41,🟡 At Risk,Tier 3 – Monitor
FF-1010,The Cellar Bar,Premium Café,Bangalore,Continental,Neha Joshi,294,4.1,34255,25,5,2,41,0,2,14781,14989,15741,14493,14340,13027,14561,-11.87,89,87366,40188,1048392,964512,45.5,0,Extended Credit Terms,1747,263311,14963.6,0.7,10.25,🟡 At Risk,Tier 2 – Engage
FF-1011,Pearl Continental,Catering Service,Delhi,Mediterranean,Riya Sharma,120,3.6,40890,9,7,3,5,1,1,16136,15871,16989,15731,14471,12863,15343,-20.28,40,92058,42347,1104696,1016328,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1012,Breezy Bites,Fine Dining Restaurant,Delhi,Pan-Asian,Riya Sharma,63,3.8,24211,2,1,6,14,1,0,19298,20760,21254,20722,19837,18638,20084,-3.42,77,120504,55432,1446048,1330368,45.5,0,Dedicated Account Manager,8000,363190,4439.3,0.85,17.16,🟡 At Risk,Tier 1 – Urgent
FF-1013,Metro Mixology,Premium Café,Chennai,Italian,Neha Joshi,36,4.6,58493,15,7,6,29,0,0,6326,6370,6833,6499,5679,5174,6146,-18.21,68,36876,16963,442512,50889,72.7,1,Extended Credit Terms,738,22197,2903.8,0.7,0.86,🔴 Critical,Tier 3 – Monitor
FF-1014,The Social Hub,Premium Café,Pune,Pan-Asian,Neha Joshi,76,4.9,75196,3,7,3,41,1,2,18870,18191,17176,16074,14940,13191,16407,-30.09,46,98442,45283,1181304,1086792,36.4,0,Extended Credit Terms,1969,237355,11948.5,0.7,9.24,🟢 Healthy,Tier 2 – Engage
FF-1015,Terrace & Toast,Premium Café,Ranchi,Continental,Priya Nair,31,3.3,27713,4,6,3,36,1,3,12120,12526,12480,11385,9586,7633,10955,-37.02,78,65730,30236,788760,725664,45.5,0,Extended Credit Terms,1315,198106,14953.7,0.7,7.71,🟡 At Risk,Tier 2 – Engage
FF-1016,Altitude Lounge,Bar & Lounge,Mumbai,Italian,Riya Sharma,99,4.2,58284,14,2,3,36,1,1,10552,10166,10331,8380,6335,4776,8423,-54.73,13,50538,23247,606456,534681,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1017,The Copper Pot,Bar & Lounge,Delhi,Pan-Asian,Vikram Singh,235,4.8,7921,25,2,5,41,1,1,15060,16034,16243,12304,9807,7801,12874,-48.2,27,77244,35532,926928,852768,36.4,0,Extended Credit Terms,1545,186244,11946.9,0.7,7.25,🟢 Healthy,Tier 2 – Engage
FF-1018,Velvet Room,Bar & Lounge,Delhi,Multi-Cuisine,Arjun Mehta,283,3.3,18227,10,4,3,36,1,0,9158,8974,8832,6794,5381,4321,7243,-52.81,6,43458,19991,521496,479784,36.4,0,Extended Credit Terms,869,104784,11944.3,0.7,4.08,🟢 Healthy,Tier 3 – Monitor
FF-1019,Zest & Zeal,Premium Café,Mumbai,Indian,Arjun Mehta,168,4.7,4858,21,4,4,34,0,0,21125,21293,20741,19319,19404,17311,19865,-18.05,17,119190,54827,1430280,1315848,36.4,0,Extended Credit Terms,2384,287381,11949.6,0.7,11.18,🟢 Healthy,Tier 2 – Engage
FF-1020,Neon Nights Bar,5-Star Hotel,Bangalore,Continental,Neha Joshi,100,3.8,65608,12,6,2,22,1,3,19277,17890,16821,17602,16798,16048,17406,-16.75,36,104436,48041,1253232,768656,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1021,The Garden Table,Premium Café,Hyderabad,Pan-Asian,Priya Nair,234,3.8,32617,27,4,5,5,1,3,12345,12199,11987,10754,9907,8986,11029,-27.21,81,66174,30440,794088,456600,36.4,0,Dedicated Account Manager,8000,99721,1146.4,0.85,4.71,🟢 Healthy,Tier 3 – Monitor
FF-1022,Harbour View,Premium Café,Ranchi,Continental,Arjun Mehta,217,5.0,32410,2,2,3,3,0,3,9198,9687,9164,9532,8870,8287,9123,-9.9,2,54738,25179,656856,604296,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
